"","title","avg_rating","genres","author","num_pages","price","publish_date","rating_1","rating_2","rating_3","rating_4","rating_5","review"
"883","The Awakening",3.64,"Academic, School, Classics, Feminism, Fiction, Literature","Kate Chopin",195,"$5.60","4/26/06",8294,16444,39992,50502,41642,31375
"884","Demons",4.26,"Fiction, Russia, Literature, Cultural, Russian Literature, Classics","Fyodor Dostoyevsky",733,"$24.90","8/1/95",389,1027,4469,10297,16164,6469
"885","The End of the Affair",3.95,"Romance, Audiobook, Classics, Fiction","Graham Greene",160,"$8.59","10/7/04",603,2362,9301,16385,13590,8448
"886","Love Story",3.61,"Womens Fiction, Classics, Chick Lit, Romance, Fiction","Erich Segal",224,"$22.23","5/29/12",1932,5652,13977,15173,12098,9766
"887","Jaws",3.97,"Fiction, Thriller, Horror, Classics, Adventure","Peter Benchley",320,"$24.99","5/31/05",2202,6764,28004,41016,44103,24418
"888","The Giver",4.12,"Dystopia, Classics, Fiction, Science Fiction, Young Adult","Lois Lowry",208,"$3.99","1/24/06",29278,66449,252365,507446,662031,303514
"889","Wives and Daughters",4.09,"Romance, Fiction, Historical Fiction, Literature, Historical, 19th Century, Classics","Elizabeth Gaskell",679,"$10.17","5/30/96",608,1440,7044,14730,15217,7808
"890","Child 44",4.09,"Mystery, Fiction, Historical Fiction, Russia, Thriller, Historical, Cultural, Crime","Tom Rob Smith",509,"$90.00","4/1/09",812,2150,10631,27485,23414,12898
"891","Silence",4.14,"Paranormal, Romance, Young Adult, Angels, Fantasy","Becca Fitzpatrick",448,"$14.02","10/4/11",5476,11402,37919,63836,108721,45471
"892","Fight Club",4.2,"Fiction, Classics, Contemporary, Thriller","Chuck Palahniuk",218,"$4.87","10/17/05",5200,14376,65134,156348,195194,87250
"893","The Lords of Discipline",4.3,"Fiction, Historical Fiction, Southern, Historical, Military Fiction, War, American","Pat Conroy",512,"$10.78","2/24/97",114,426,2929,8766,11007,4648
"894","All Quiet on the Western Front",3.95,"Historical Fiction, Historical, Classics, Fiction, War","Erich Maria Remarque",296,"$21.83","3/12/87",9418,20238,64246,108393,117907,64040
"895","Heart of Darkness and The Secret Sharer",3.49,"Fiction, Academic, Literature, School, Classics","Joseph Conrad",176,"$7.48","9/1/97",1139,1958,4316,4772,3636,3164
"896","Johnny Got His Gun",4.17,"Horror, Historical Fiction, Historical, Classics, Fiction, Literature, War","Dalton Trumbo",309,"$19.05","8/1/00",548,1202,4877,10456,14223,6261
"897","Disgrace",3.84,"Africa, Southern Africa, Cultural, South Africa, Fiction, Literature, Novels","J.M. Coetzee",220,"$15.48","8/30/05",1610,4974,17179,29482,20205,14690
"898","The Maltese Falcon",3.91,"Mystery, Classics, Fiction, Crime, Noir","Dashiell Hammett",213,"$2.99","3/1/05",1285,4182,18083,28983,23768,15260
"899","Small Gods",4.29,"Humor, Comedy, Fiction, Science Fiction Fantasy, Fantasy","Terry Pratchett",400,"$11.66","8/1/05",355,1814,13098,31919,44189,18275
"900","The Grand Delusion",4.14,"Mystery, Psychology, Fiction","Heath Sommer",410,"$28.40","10/28/10",5,10,26,35,83,32
"901","Circus of the Damned",4.16,"Romance, Fantasy, Paranormal, Urban Fantasy, Horror, Vampires","Laurell K. Hamilton",320,"$20.59","1/2/07",804,2625,15240,28803,36808,16856
"902","Where She Went",4.04,"Realistic Fiction, Contemporary, Romance, Fiction, Young Adult","Gayle Forman",264,"$97.78","4/5/11",3370,12313,48417,84062,91855,48003
"903","Stormbreaker",3.98,"Young Adult, Fiction, Mystery, Adventure","Anthony Horowitz",256,"$289.00","4/12/04",1124,4223,17893,28741,27987,15994
"904","Revelations",4.02,"Romance, Young Adult, Fantasy, Paranormal, Angels, Witches, Horror, Vampires, Demons, Paranormal Romance","Lindsay Anne Kendal",300,"$1.36 to $10.33","5/15/13",13,16,46,71,122,54
"905","Revelations",3.9,"Young Adult, Vampires, Paranormal, Fantasy","Melissa de la Cruz",264,"$1.36 to $10.33","10/31/08",1503,4901,18414,21929,25574,14464
"906","The Complete Anne of Green Gables Boxed Set",4.43,"Fiction, Historical Fiction, Young Adult, Childrens, Historical, Classics","L.M. Montgomery",2088,"$102.17","10/6/98",1488,2057,9456,24052,59183,19247
"907","Childhood's End",4.11,"Science Fiction, Classics, Fiction","Arthur C. Clarke",224,"$154.95","5/12/87",1061,4044,20735,42838,44033,22542
"908","The Curse of Chalion",4.16,"Fantasy, Epic Fantasy, Fiction, High Fantasy","Lois McMaster Bujold",490,"$245.96","2/3/03",390,982,4310,10348,12015,5609
"909","Captive in the Dark",3.99,"Adult Fiction, Romance, Abuse, Contemporary, Erotic Romance, Adult, BDSM, Dark, Sociology, New Adult, Erotica, Contemporary Romance","C.J. Roberts",276,"$6.45","7/20/11",3069,3839,10497,19547,26821,12755
"910","Helter Skelter: The True Story of the Manson Murders",4.02,"Horror, Nonfiction, Mystery, Crime, History, True Crime","Vincent Bugliosi",689,"$14.14","12/17/01",1452,4585,23652,40624,39699,22002
"911","Bared to You",4.19,"Erotica, Contemporary, Adult, Romance, Contemporary Romance, Adult Fiction","Sylvia Day",334,"$5.60","2/4/14",11127,20971,60745,113115,214552,84102
"912","Vicious",4.26,"Fantasy, Adult, Science Fiction, Fiction","V.E. Schwab",368,"$28.01","9/24/13",488,1711,8185,21915,29284,12317
"913","Another Roadside Attraction",3.98,"Novels, Humor, Literature, Fiction","Tom Robbins",366,"$23.95","1/10/04",324,1389,6778,11359,9950,5960
"914","Fall of Giants",4.28,"Historical, Fiction, Historical Fiction","Ken Follett",985,"$16.08","9/28/10",2436,5933,28497,80117,111770,45751
"915","Strange Angels",3.78,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Vampires","Lili St. Crow",293,"$22.00 to $27.00","5/14/09",1797,3414,8736,10859,12842,7530
"916","The Prince and the Pauper",3.85,"Fiction, Historical Fiction, Literature, Historical, Classics","Mark Twain",240,"$2.77","5/1/02",1188,5450,28464,37089,27825,20003
"917","The Book of Disquiet",4.47,"Fiction, Literature, Philosophy, Classics, Cultural, Poetry, Portugal","Fernando Pessoa",544,"$5.23","12/31/02",198,447,1416,4018,11015,3419
"918","Wolf Hall",3.86,"Historical, Fiction, Historical Fiction","Hilary Mantel",653,"$17.18","4/26/10",7581,11316,24362,42348,50545,27230
"919","Shadowfever",4.41,"Paranormal Romance, Urban Fantasy, Paranormal, Fairies, Romance, Fae, Fantasy","Karen Marie Moning",608,"$10.53","1/18/11",1853,2243,8242,22964,56287,18318
"920","Silver Borne",4.38,"Romance, Werewolves, Fantasy, Paranormal, Urban Fantasy, Vampires, Shapeshifters, Paranormal Romance","Patricia Briggs",342,"$20.26","3/30/10",202,941,9337,30844,45041,17273
"921","Cane River",4.05,"Historical, Fiction, Historical Fiction","Lalita Tademy",522,"$1.99","4/1/02",460,1639,8890,16975,15899,8773
"922","Words of Radiance",4.77,"Fiction, Epic Fantasy, High Fantasy, Fantasy","Brandon Sanderson",1087,"$75.01","3/4/14",212,562,3843,26443,125113,31235
"923","Americanah",4.3,"Contemporary, Fiction, Literary Fiction, Cultural, Feminism, Africa","Chimamanda Ngozi Adichie",477,"$9.14","5/14/13",2029,4632,22038,70680,94865,38849
"924","The Day of the Triffids",4.01,"Fiction, Apocalyptic, Science Fiction, Post Apocalyptic, Horror, Classics","John Wyndham",228,"$699.99","7/1/03",824,3141,16662,31222,26194,15609
"925","White Noise",3.86,"Classics, American, Fiction, Literature, Novels","Don DeLillo",320,"$14.06","6/1/99",2128,5996,17314,28515,24881,15767
"926","The High Lord",4.16,"Magic, Fiction, Fantasy, Young Adult, High Fantasy","Trudi Canavan",647,"$5.16","11/4/04",382,1522,7392,16220,18412,8786
"927","The Blue Sword",4.23,"Romance, Fiction, Fantasy, Young Adult, Adventure","Robin McKinley",256,"$63.93","3/15/87",878,1842,7623,14855,25856,10211
"928","Fantastic Beasts and Where to Find Them",3.99,"Fantasy, Magic, Fiction, Young Adult","Newt Scamander",128,"$29.99 to $53.99","6/1/01",3833,16041,65153,83504,106224,54951
"929","Quidditch Through the Ages",3.86,"Fantasy, Fiction, Childrens, Young Adult","Kennilworthy Whisp",64,"$6.45","6/1/01",1495,8918,34378,37561,39826,24436
"930","The Dark Is Rising Sequence",4.28,"Fantasy, Fiction, Childrens, Young Adult","Susan Cooper",1148,"$6.97","1/1/86",189,446,1927,4460,7526,2910
"931","The Drawing of the Three",4.23,"Fiction, Science Fiction, Horror, Fantasy","Stephen King",463,"$20.00","8/5/03",1264,5030,27159,71365,84453,37854
"932","Lola and the Boy Next Door",3.98,"Romance, Womens Fiction, Contemporary, Young Adult, Chick Lit","Stephanie Perkins",384,"$7.83","9/29/11",3203,7386,28124,48404,49463,27316
"933","Island",3.85,"Fiction, Dystopia, Science Fiction, Philosophy, Classics","Aldous Huxley",354,"$22.18","7/30/02",587,1719,4689,6772,6860,4125
"934","Grave Mercy",3.91,"Romance, Historical Fiction, Fantasy, Young Adult, Historical","Robin LaFevers",549,"$9.10","4/3/12",2616,5202,18089,31061,28816,17157
"935","Anna and the French Kiss",4.03,"Contemporary, Womens Fiction, Chick Lit, Romance, Young Adult","Stephanie Perkins",372,"$9.13","12/2/10",14341,18942,55444,97119,146033,66376
"936","Pushing the Limits",4.07,"Romance, Contemporary, Fiction, Young Adult, Young Adult Contemporary, Realistic Fiction, Young Adult Romance, High School, New Adult, Contemporary Romance","Katie McGarry",392,"$10.71","7/31/12",2731,5061,19010,35967,45263,21606
"937","Twenty Love Poems and a Song of Despair",4.31,"European Literature, Spanish Literature, Classics, Romance, Poetry","Pablo Neruda",70,"$6.12","12/26/06",603,1242,5293,13281,22935,8671
"938","The Goddess Test",3.82,"Romance, Young Adult, Fantasy, Paranormal, Mythology","Aimee Carter",293,"$7.63","4/19/11",1930,4238,11647,15746,16730,10058
"939","The Canterbury Tales",3.49,"Academic, Historical Fiction, Historical, School, Classics, Fiction, Short Stories, Literature, Medieval, Poetry, Read For School, Classic Literature","Geoffrey Chaucer",504,"$1.28","1/30/03",7348,20976,57028,53056,33298,34341
"940","The Shell Seekers",4.14,"Historical Fiction, Womens Fiction, Historical, Romance, Chick Lit, Fiction","Rosamunde Pilcher",530,"$13.01","4/6/04",1228,3405,15649,28532,38840,17531
"941","Memnoch the Devil",3.74,"Horror, Paranormal, Vampires, Fiction, Fantasy","Anne Rice",354,"$4.99","3/26/99",2412,7131,19186,20648,22339,14343
"942","The Civil War: A Narrative",4.53,"Military History, Nonfiction, History, Civil War, American History, Military, North American Hi..., War","Shelby Foote",2934,"$17.98","5/26/06",62,145,499,1479,4504,1338
"943","The City of Ember",3.86,"Teen, Post Apocalyptic, Childrens, Dystopia, Middle Grade, Science Fiction, Fiction, Young Adult, Apocalyptic, Adventure, Fantasy","Jeanne DuPrau",270,"$8.20","4/26/03",3974,14181,57046,81698,66266,44633
"944","Born at Midnight",4.13,"Romance, Werewolves, Young Adult, Fantasy, Paranormal, Vampires, Shapeshifters","C.C. Hunter",398,"$7.46","3/29/11",2007,3621,12619,22555,35540,15268
"945","Mort",4.23,"Fiction, Humor, Fantasy","Terry Pratchett",243,"$13.60","2/6/01",1142,3137,25011,64996,73985,33654
"946","The Sisterhood of the Traveling Pants",3.77,"Contemporary, Womens Fiction, Chick Lit, Fiction, Young Adult","Ann Brashares",294,"$8.15","9/11/01",15964,44189,160041,191173,166139,115501
"947","Hunger",4.03,"Young Adult, Dystopia, Science Fiction","Michael  Grant",590,"$89.89","5/26/09",1395,3809,14068,24489,27775,14307
"948","Hunger",4.08,"Scandinavian Literature, Fiction, Literature, European Literature, Novels, Classics","Knut Hamsun",134,"$89.89","11/17/03",525,1642,6093,13099,13650,7002
"949","Love, Rosie",3.94,"Romance, Womens Fiction, Fiction, Contemporary, Chick Lit","Cecelia Ahern",512,"$37.88","12/1/06",1974,5951,20070,30740,32274,18202
"950","The Magicians",3.5,"Magic, Fiction, Fantasy, Young Adult, Urban Fantasy","Lev Grossman",402,"$27.31","8/11/09",11989,25808,56339,63994,43756,40377
"951","Gone Girl",4.06,"Fiction, Crime, Mystery, Thriller","Gillian Flynn",415,"$7.00","4/22/14",47157,93155,323833,722233,763916,390059
"952","Gone Girl",4.06,"Crime, Mystery, Thriller, Fiction","Gillian Flynn",560,"$7.00","8/26/14",47166,93162,323861,722297,764004,390098
"953","The Blind Assassin",3.95,"Historical Fiction, Mystery, Historical, Cultural, Fiction, Canada","Margaret Atwood",637,"$6.52","9/3/01",2640,6858,25849,47530,41577,24891
"954","The Last Wish",4.2,"Fantasy, Short Stories, Fiction, High Fantasy","Andrzej Sapkowski",384,"$18.91","6/7/07",728,2412,12819,32787,37327,17215
"955","Let the Great World Spin",3.94,"Fiction, Book Club, Historical Fiction, Historical, New York","Colum McCann",351,"$5.93","6/23/09",1726,5194,17595,32926,28208,17130
"956","Beach Music",4.15,"Fiction, Southern, American, Contemporary","Pat Conroy",592,"$20.96","3/26/02",602,1642,6708,13629,17799,8076
"957","The Mountain's Morning Song",4.47,"Fiction, Contemporary, Book Club, Novels, Drama","William Graney",346,"$1,175.15","1/16/19",0,0,0,149,130,56
"958","Catching Fire",4.29,"Dystopia, Science Fiction, Fiction, Young Adult, Fantasy","Suzanne Collins",391,"$2.00","9/1/09",12033,53396,290406,756541,1072669,437009
"959","Archer's Voice",4.42,"Romance, New Adult, Contemporary, Contemporary Romance","Mia Sheridan",345,"$39.99","1/25/14",768,1886,7007,18487,43177,14265
"960","Some Girls Bite",4,"Romance, Fantasy, Paranormal, Urban Fantasy, Vampires, Paranormal Romance","Chloe Neill",341,"$26.92","4/7/09",1542,2731,10424,19744,20507,10990
"961","A Confederacy of Dunces",3.89,"Fiction, Humor, Classics, Literature","John Kennedy Toole",416,"$12.73","1/26/94",12284,17067,35664,61205,82795,41803
"962","Ascend",4.08,"Fantasy, Romance, Paranormal, Young Adult","Amanda Hocking",326,"$0.99 to $1.89","4/24/12",992,2860,10632,18649,23942,11415
"963","The House at Pooh Corner",4.36,"Childrens, Classics, Fiction","A.A. Milne",180,"$51.63","10/31/88",722,1493,9674,21448,42116,15091
"964","In Cold Blood",4.07,"Nonfiction, Mystery, Classics, Crime, True Crime","Truman Capote",343,"$3.86","4/26/94",11861,19799,79126,165681,184929,92279
"965","Gandhi: An autobiography",4.07,"India, Nonfiction, History, Autobiography, Philosophy, Biography, Cultural","Mahatma Gandhi",528,"$32.98","11/1/93",878,1848,7334,13448,16454,7992
"966","Tiger's Quest",4.33,"Fantasy, Mythology, Romance, Young Adult","Colleen Houck",479,"$13.42","6/7/11",596,1186,4057,8907,19629,6875
"967","The Blue Castle",4.25,"Romance, Fiction, Historical Fiction, Young Adult, Historical, Classics","L.M. Montgomery",218,"$76.96","4/1/89",287,758,3778,8185,12421,5086
"968","Exotic Neurotic",4.4,"Fiction, Poetry, Contemporary","Kenneth Jarrett Singleton",108,"$20.09","2/24/16",4,3,35,108,187,67
"969","Old Man's War",4.24,"Space Opera, Science Fiction, Fiction, Space","John Scalzi",351,"$9.19","1/15/07",1101,3331,18143,52582,60029,27037
"970","Night Play",4.36,"Romance, Fantasy, Paranormal, Vampires, Paranormal Romance","Sherrilyn Kenyon",362,"$55.00","8/3/04",254,870,5948,15041,25395,9502
"971","The Elite",4.02,"Dystopia, Romance, Science Fiction, Young Adult, Fantasy","Kiera Cass",336,"$19.35","4/23/13",6015,19331,66174,112438,130631,66918
"972","Needful Things",3.9,"Horror, Thriller, Fiction","Stephen King",790,"$8.41","4/26/92",2503,11008,46747,64512,57890,36532
"973","Along for the Ride",4.07,"Contemporary, Womens Fiction, Chick Lit, Romance, Young Adult","Sarah Dessen",383,"$12.95","6/16/09",3205,8088,34731,58629,72472,35425
"974","Centennial",4.23,"Historical, Westerns, Fiction, Historical Fiction","James A. Michener",1056,"$2.93","2/12/87",248,845,5845,12879,16742,7312
"975","Because of Winn-Dixie",4.03,"Realistic Fiction, Childrens, Middle Grade, Fiction, Young Adult","Kate DiCamillo",182,"$5.56","8/6/01",2292,8841,38685,60388,68420,35725
"976","Crown of Midnight",4.46,"Young Adult, Romance, Fantasy","Sarah J. Maas",418,"$5.79","8/27/13",1587,4050,21822,76251,154000,51542
"977","Utopia",3.52,"Fiction, Politics, Literature, Philosophy, Classics","Thomas More",135,"$1.28 to $12.84","5/6/03",1407,5950,18582,17178,9623,10548
"978","The Lions of Al-Rassan",4.28,"Fiction, Historical Fiction, Fantasy, Historical, Historical Fantasy","Guy Gavriel Kay",528,"$12.02","6/28/05",183,518,2294,5737,8711,3489
"979","Just Listen",4.06,"Fiction, Young Adult, Contemporary, Romance","Sarah Dessen",371,"$8.59","4/6/06",3898,10773,43093,72759,90281,44161
"980","Roots: The Saga of an American Family",4.43,"Fiction, Classics, Historical Fiction, Historical","Alex Haley",729,"$20.47","11/1/77",891,2102,13641,39475,78299,26882
"981","The Things They Carried",4.13,"Historical Fiction, Historical, Classics, Fiction, Short Stories, War","Tim O'Brien",246,"$49.00","12/29/98",3495,9736,36639,79880,94904,44931
"982","Little Women",4.06,"Historical Fiction, Historical, Classics, Fiction, Young Adult","Louisa May Alcott",449,"$12.39","4/6/04",34877,76055,273319,474482,612607,294268
"983","The Day of the Jackal",4.26,"Mystery, Fiction, Thriller, Spy Thriller, Crime, Espionage","Frederick Forsyth",384,"$14.82","10/4/82",602,1935,14027,38243,45841,20130
"984","The Virgin Suicides",3.84,"Fiction, Young Adult, Classics, Contemporary","Jeffrey Eugenides",250,"$5.60","4/26/02",4685,14401,51511,78411,61018,42005
"985","Songs of Innocence and of Experience",4.11,"18th Century, Classics, Fiction, Literature, Poetry","William Blake",56,"$14.76","1/1/05",453,1488,6440,11670,14659,6942
"986","I Capture the Castle",4,"Historical Fiction, Historical, Classics, Romance, Fiction, Young Adult","Dodie Smith",343,"$12.99","3/31/98",1054,3785,15360,28159,26408,14953
"987","Inkheart",3.87,"Fiction, Young Adult, Fantasy","Cornelia Funke",548,"$400.00","6/1/05",8981,24306,76674,107677,110487,65625
"988","The Very Hungry Caterpillar",4.29,"Childrens, Picture Books","Eric Carle",26,"$3.99","4/26/94",7451,13047,47618,80614,194034,68553
"989","Call Me by Your Name",4.28,"Romance, LGBT, Contemporary, Fiction","Andrí© Aciman",248,"$0.99","1/23/07",1727,4152,13440,31559,57041,21584
"990","Shantaram",4.27,"Cultural, Travel, Fiction, Adventure, India","Gregory David Roberts",936,"$32.75","4/26/04",2663,5247,16032,40904,71611,27291
"991","Dream Caster",4.15,"Fantasy, Young Adult, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic","N. Nada",362,"$11.07","12/19/12",9,11,24,42,100,37
"992","Bag of Bones",3.89,"Horror, Thriller, Fiction","Stephen King",736,"$17.52","6/26/99",2741,10267,39371,52736,51038,31231
"993","City of Glass",4.33,"Young Adult, Romance, Paranormal, Fantasy","Cassandra Clare",541,"$5.04","3/24/09",7767,20111,91070,204156,391955,143012
"994","Tell No One",4.11,"Mystery, Fiction, Mystery Thriller, Thriller, Suspense, Crime","Harlan Coben",370,"$4.86","8/25/09",837,3005,17777,40400,37638,19931
"995","Treasure Island",3.83,"Fiction, Young Adult, Classics, Adventure","Robert Louis Stevenson",311,"$12.89","9/15/01",6272,21564,96720,130598,97953,70621
"996","The Scopas Factor",4.27,"Novels, Drama, Contemporary, Fiction","Vincent Panettiere",326,"$7.90","11/5/18",8,16,95,448,413,196
"997","The Iron Queen",4.24,"Paranormal, Fairies, Romance, Young Adult, Fantasy","Julie Kagawa",384,"$15.42","1/25/11",1284,3012,13630,27560,44807,18059
"998","Under the Volcano",3.79,"Novels, Literature, Classics, Fiction","Malcolm Lowry",397,"$34.45","4/26/00",895,1960,4351,6077,6811,4019
"999","Warbreaker",4.25,"Fantasy, Epic Fantasy, Fiction, High Fantasy","Brandon Sanderson",688,"$9.59","4/26/09",380,1596,11861,35379,38350,17513
"1000","Xenocide",3.79,"Fantasy, Science Fiction Fantasy, Science Fiction, Fiction","Orson Scott Card",592,"$1,090.00","7/15/96",1994,9068,36126,47736,32882,25561
"1001","A Passage to India",3.68,"Historical Fiction, Historical, Cultural, Classics, Fiction, Literature, India","E.M. Forster",376,"$2.98","8/30/05",1841,5452,17273,22532,14019,12223
"1002","Light in August",3.94,"Fiction, Classics, Literature, American","William Faulkner",507,"$1,000.00","1/30/91",1345,3099,9862,17342,17168,9763
"1003","An American Tragedy",3.94,"Literature, Classics, Fiction","Theodore Dreiser",859,"$2,200.00","9/1/00",811,1837,6200,10101,10643,5918
"1004","The Master and Margarita",4.31,"Russia, Historical Fiction, Historical, 20th Century, Cultural, Classics, Russian Literature, Fiction, Literature, Novels, Magical Realism, Fantasy","Mikhail Bulgakov",335,"$20.99","3/26/96",3249,7419,24138,53151,110200,39631
"1005","Replay",4.16,"Fantasy, Time Travel, Science Fiction, Fiction","Ken Grimwood",311,"$12.89","7/22/98",269,913,4006,9241,10586,5003
"1006","Lover Enshrined",4.13,"Paranormal Romance, Paranormal, Vampires, Romance, Fantasy","J.R. Ward",534,"$12.49","6/3/08",1208,4907,18875,29668,44861,19904
"1007","The Diviners",3.97,"Mystery, Historical Fiction, Young Adult, Fantasy, Paranormal, Historical","Libba Bray",578,"$11.75","9/18/12",1710,3234,11153,22923,21185,12041
"1008","The Secret Magdalene",4.1,"Fiction, Religion, Historical Fiction, Historical","Ki Longfellow",448,"$7.50","3/27/07",209,262,507,846,2024,770
"1009","A Child Called ""It""",4.1,"Nonfiction, Memoir, Biography, Psychology, Autobiography","Dave Pelzer",184,"$2.99","9/1/95",8256,17345,60755,106564,154599,69504
"1010","Fall on Your Knees",3.96,"Historical Fiction, Historical, Cultural, Fiction, Canada","Ann-Marie MacDonald",672,"$3.86","10/29/02",1644,3550,11853,19926,21323,11659
"1011","The Tipping Point: How Little Things Can Make a Big Difference",3.95,"Nonfiction, Economics, Self Help, Philosophy, Leadership, Business, Science, Sociology, Audiobook, Psychology","Malcolm Gladwell",301,"$5.60","1/7/02",17876,29761,122083,223122,205917,119752
"1012","The Long Walk",4.11,"Horror, Science Fiction, Fiction, Thriller, Dystopia","Richard Bachman",370,"$49.19","4/1/99",992,3948,17658,34208,38950,19151
"1013","High Fidelity",3.94,"Humor, Contemporary, Romance, Fiction, Music","Nick Hornby",340,"$13.50","5/5/05",1781,7556,36833,67659,47548,32275
"1014","Metamorphoses",4.05,"Fiction, Fantasy, Classics, Mythology, Poetry","Ovid",723,"$130.00","8/3/04",754,2408,11031,18521,20581,10659
"1015","Gaudy Night",4.24,"Romance, Mystery, Fiction, Classics, Crime","Dorothy L. Sayers",501,"$34.04","3/16/95",271,723,2973,6672,10122,4152
"1016","Brida",3.47,"Fantasy, Novels, Philosophy, Fiction","Paulo Coelho",264,"$23.05","4/26/06",3250,8431,18954,16692,13449,12155
"1017","The Physician",4.37,"Historical, Fiction, Historical Fiction","Noah Gordon",720,"$142.41","7/1/01",231,710,3429,10655,17485,6502
"1018","Ghost Story",3.95,"Mystery, Ghost Stories, Fiction, Fantasy, Paranormal, Thriller, Ghosts, Suspense, Supernatural, Horror","Peter Straub",567,"$7.40","9/1/89",1435,3725,13539,21655,22251,12521
"1019","Heir of Fire",4.51,"Young Adult, Romance, Fantasy","Sarah J. Maas",565,"$33.75","9/2/14",1174,3138,16393,55030,132003,41548
"1020","Junky",3.85,"Literature, Classics, Fiction","William S. Burroughs",208,"$185.25","4/1/03",791,2973,12712,19271,13486,9847
"1021","Yertle the Turtle and Other Stories",4.15,"Childrens, Picture Books, Fiction","Dr. Seuss",96,"$13.99","4/12/58",499,1228,5999,8776,14568,6214
"1022","Perfume: The Story of a Murderer",4.02,"Horror, Historical Fiction, Mystery, Historical, European Literature, German Literature, Classics, Fiction, Crime, Thriller, Novels","Patrick Sí_skind",263,"$20.01","4/26/87",6631,15088,49318,95258,104261,54111
"1023","Tao Te Ching",4.32,"Religion, Self Help, Nonfiction, Spirituality, Eastern Philosophy, Cultural, Taoism, Classics, Poetry, Philosophy, China","Lao Tzu",160,"$48.65","8/28/89",1152,2786,12628,26502,51450,18904
"1024","Unwind",4.18,"Science Fiction, Young Adult, Dystopia, Fiction","Neal Shusterman",335,"$1.11","11/6/07",3441,6735,25092,57194,80873,34667
"1025","Caraval",3.95,"Fantasy, Romance, Young Adult","Stephanie Garber",407,"$66.70","1/31/17",2358,6562,18375,31758,33631,18537
"1026","Firelight",3.87,"Romance, Fantasy, Young Adult, Paranormal, Dragons","Sophie Jordan",323,"$19.99","9/7/10",1760,4468,13142,17923,20098,11478
"1027","Champion",4.36,"Science Fiction, Dystopia, Young Adult, Romance","Marie Lu",369,"$38.71","11/5/13",1283,3514,17049,44656,80907,29482
"1028","Royal Assassin",4.23,"Fantasy, Epic Fantasy, Fiction, High Fantasy","Robin Hobb",752,"$5.50","3/26/97",1155,3625,18224,47808,58068,25776
"1029","Foucault's Pendulum",3.9,"Mystery, Historical Fiction, Historical, Classics, Fiction, Literature","Umberto Eco",623,"$9.79","3/5/07",1812,3948,11369,18184,19053,10873
"1030","Three Men in a Boat",3.89,"Travel, Comedy, Humor, Fiction, Literature, Funny, European Literature, British Literature, 19th Century, Classics, Adventure","Jerome K. Jerome",185,"$53.64","10/1/94",1102,3189,11047,16575,15688,9520
"1031","The Silence of the Lambs",4.17,"Horror, Mystery, Fiction, Crime, Thriller","Thomas  Harris",338,"$9.98","4/26/02",10497,13334,58468,135506,187097,80980
"1032","Brisingr",4.05,"Fiction, Young Adult, Dragons, Fantasy","Christopher Paolini",748,"$89.73","9/20/08",4671,14395,49130,85481,104449,51625
"1033","The Earthsea Trilogy",4.26,"Science Fiction Fantasy, Fiction, Fantasy, Young Adult, Science Fiction, Classics","Ursula K. Le Guin",478,"$9.03","4/26/79",181,459,2392,5737,8185,3391
"1034","Gathering Blue",3.81,"Fiction, Young Adult, Dystopia, Childrens, Science Fiction, Middle Grade","Lois Lowry",240,"$3.70","9/25/00",1688,8857,40536,55645,36319,28609
"1035","The Thirteenth Tale",3.96,"Mystery, Historical Fiction, Historical, Books About Books, Fiction, Gothic, Writing","Diane Setterfield",406,"$22.55","9/12/06",4898,13819,53111,93317,84230,49875
"1036","Killing Floor",4.05,"Mystery, Fiction, Thriller, Suspense, Crime","Lee Child",424,"$199.95","4/25/06",3167,8406,41081,83816,77626,42819
"1037","Neuromancer",3.89,"Science Fiction, Fiction, Cyberpunk","William Gibson",271,"$79.99","7/1/84",10078,16811,45860,75214,84148,46422
"1038","Wizard's First Rule",4.14,"Fiction, Epic Fantasy, Fantasy","Terry Goodkind",836,"$6.98","4/14/03",6986,10430,30344,62085,100817,42132
"1039","The Tales of Beedle the Bard",4.08,"Fiction, Young Adult, Short Stories, Fantasy","J.K. Rowling",109,"$3.99","12/4/08",3270,16172,76570,117751,146408,72034
"1040","Snow Crash",4.03,"Science Fiction, Fiction, Cyberpunk","Neal Stephenson",438,"$84.95","8/2/00",8448,11448,33901,69588,88682,42413
"1041","The Education of Little Tree",4.1,"Fiction, Historical Fiction, Young Adult, Historical, Classics","Forrest Carter",228,"$14.99","8/31/01",274,600,2243,4537,5617,2654
"1042","Reflected in You",4.32,"Erotica, Contemporary, Adult, Romance, Contemporary Romance, Adult Fiction","Sylvia Day",338,"$3.50","10/23/12",3459,9610,37335,81097,162127,58726
"1043","One Thousand White Women: The Journals of May Dodd",3.88,"Historical, Book Club, Fiction, Historical Fiction","Jim Fergus",434,"$19.33","2/15/99",3166,7298,22809,37429,34724,21085
"1044","Snow Flower and the Secret Fan",4.07,"Historical Fiction, Historical, Cultural, Asia, Fiction, China","Lisa See",269,"$4.33","2/21/06",3690,12113,60112,127033,116426,63875
"1045","The Corrections",3.79,"Fiction, Novels, Contemporary","Jonathan Franzen",653,"$6.84","9/2/02",7229,11900,29673,51073,44603,28896
